0.0892045,-52.950000,7.610000
0.0892045,-52.100000,7.840000
0.0892045,-51.900000,7.420000
0.0892045,-49.260000,7.960000
0.0892045,-53.700000,7.960000
0.31,-60.130000,6.910000
0.31,-57.820000,7.600000
0.31,-59.450000,6.890000
0.31,-57.420000,7.210000
0.31,-57.530000,5.940000
0.43,-65.600000,7.610000
0.43,-72.630000,5.130000
0.43,-70.640000,6.350000
0.43,-71.310000,6.930000
0.43,-71.880000,7.270000
0.54,-69.470000,7.160000
0.54,-70.220000,4.950000
0.54,-69.730000,7.960000
0.54,-66.460000,7.310000
0.54,-65.670000,7.040000
0.59,-69.130000,7.500000
0.59,-71.230000,7.910000
0.59,-69.900000,11.270000
0.59,-71.540000,7.580000
0.59,-66.480000,7.220000
0.71,-65.490000,6.940000
0.71,-65.410000,6.040000
0.71,-64.320000,6.920000
0.71,-64.970000,6.440000
0.71,-65.390000,5.970000
0.75,-72.300000,6.890000
0.75,-66.980000,5.600000
0.75,-69.630000,4.850000
0.75,-66.670000,7.190000
0.75,-68.120000,7.100000
0.83,-67.260000,5.400000
0.83,-63.920000,7.230000
0.83,-68.630000,7.340000
0.83,-70.520000,7.250000
0.83,-69.250000,7.140000
0.34,-60.610000,6.520000
0.34,-60.180000,7.570000
0.34,-60.440000,8.250000
0.34,-58.520000,7.910000
0.34,-57.800000,7.530000
0.38,-59.970000,7.500000
0.38,-63.160000,3.080000
0.38,-62.790000,8.060000
0.38,-64.950000,7.850000
0.38,-65.150000,7.940000
