0.17,17,-61.880000
0.17,17,-57.190000
0.17,17,-61.380000
0.17,17,-58.030000
0.17,17,-61.730000
0.27,0,-65.100000
0.27,0,-62.860000
0.27,0,-61.780000
0.27,0,-66.280000
0.27,0,-63.540000
0.43,2,-73.740000
0.43,2,-71.480000
0.43,2,-72.220000
0.43,2,-72.060000
0.43,2,-71.450000
0.47,-1,-74.850000
0.47,-1,-74.430000
0.47,-1,-73.230000
0.47,-1,-73.470000
0.47,-1,-71.970000
0.52,1,-78.660000
0.52,1,-77.430000
0.52,1,-75.810000
0.52,1,-76.750000
0.52,1,-75.860000
0.59,1,-79.700000
0.59,1,-79.000000
0.59,1,-74.300000
0.59,1,-73.430000
0.59,1,-76.890000
0.65,7,-93.100000
0.65,7,-92.910000
0.65,7,-92.650000
0.65,7,-92.980000
0.65,7,-91.580000
0.21,28,-60.270000
0.21,28,-59.320000
0.21,28,-59.100000
0.21,28,-60.410000
0.21,28,-58.980000
0.30,4,-58.480000
0.30,4,-58.790000
0.30,4,-58.720000
0.30,4,-59.210000
0.30,4,-59.960000
0.42,-2,-69.370000
0.42,-2,-68.890000
0.42,-2,-69.100000
0.42,-2,-68.900000
0.42,-2,-69.430000
